Country,Year,CO2 Emissions (Metric Tons),Renewable Energy (% of Total),Forest Area (% Land Area),Energy Intensity (MJ per GDP),Air Quality Index (AQI),Recycling Rate (%)
Country E,2020,6642.364252519505,24.298215444624525,43.50835156091505,450.20953251554465,37.75827955458569,56.41145828034307
Country E,2008,57220.03829737494,33.98537511886275,53.87552671206181,317.6288970184156,69.7339519596692,64.10953740751134
Country D,2006,86487.59384967279,25.16623449319873,48.27077171605603,147.2671576936308,45.13554182662327,19.332478785515733
Country B,2017,50039.697205015356,21.31983322906658,66.10499500631342,309.29962282329797,140.15028547297595,23.539349707573702
Country E,2003,5390.089275257603,30.902230006289525,21.98606009258845,130.57801156856175,142.60606928527034,56.61897877190222
Country E,2013,6046.269041882709,37.01881883784692,33.98974379257014,113.37256745928187,102.41477444454338,74.05484645551164
Country D,2017,44580.423554306304,19.607551911105432,22.854305061899055,344.32755436464066,126.65853027505025,12.079115054644376
Country B,2008,19725.823404591683,23.822444049831155,29.730211501074976,476.36447744101315,111.26535436342206,44.89921920321614
Country E,2020,68122.81242385966,16.882018800895676,26.199166792276536,314.82319064335024,127.33306676768481,89.36429963382203
Country A,2001,72335.93016608462,15.502283908520523,56.63308135101157,408.1044348420019,106.77686434672738,71.25966107909233
Country E,2019,21898.580568759717,33.33670427176526,38.4687970647199,125.76396346979932,81.62324061223744,46.01492029341475
Country D,2014,89410.66240982607,16.01992350065327,66.25221356015103,344.3946647850239,134.85053487141025,17.843234190539057
Country D,2006,46981.245272997956,33.7995451400335,21.16888608460353,379.83986217341226,82.5679667505714,38.73460553639656
Country A,2011,18570.361221232753,22.876511555207934,52.6462092472089,68.72653423146255,77.5454987224801,22.354301309652065
Country B,2007,77603.90181659257,39.851461702231475,68.52724001327442,93.72394266964791,104.92597705969389,83.66231489395587
Country A,2014,80047.57750159342,15.920242545738677,28.79193599050093,401.7113962377572,142.55181610523144,64.85155068698182
Country E,2002,65733.06990321846,12.78933977538478,42.121611514279095,247.97750965797775,83.06434095388298,78.45580142278908
Country D,2013,86079.22755424255,12.262992088104868,55.09449455851371,232.51145129699503,98.99337251411625,81.79716187712073
Country B,2016,75050.43234291377,35.06254014172602,51.65689996615839,464.1663186226301,89.07992638887453,58.551186797612466
Country E,2003,88809.5450365641,23.1332893317503,48.301356528283534,496.38462095913235,139.16794895142385,10.527870121743321
Country A,2017,46219.36460612055,10.093730489421148,36.33780635272026,393.9730416075393,111.20940027705728,54.48576547206294
Country E,2007,76021.72716944704,36.24314087510008,56.40999767664506,406.66719844325837,80.35072540047699,74.19960010504407
Country A,2003,99976.39852575921,36.30763020730913,52.66276385341681,143.74444890812205,102.82831756532391,35.159177577644726
Country C,2001,73868.46376436383,34.19250022056373,28.14001427218757,136.50144905299953,48.72710366807444,84.22012191779362
Country C,2005,15847.459122527554,17.449554490745275,68.20453656528481,491.30726687802206,71.03326642176532,89.7455355679923
Country D,2021,54240.27863077238,21.18258160201519,47.78364544700597,362.7912736687512,118.34174599101158,53.94103202762126
Country B,2009,60798.04016808765,32.34778675586451,46.27308005179508,359.01940909072385,97.48729611083381,52.49928895586337
Country D,2003,21550.014131782144,24.68059376222756,62.411833879373475,178.78458697261982,67.71273742966582,62.41514518904873
Country E,2021,96474.70524691357,14.614797301706574,52.02067553144883,448.9157077599872,73.4757486601518,55.3071038257651
Country C,2017,21680.07887528855,17.28394793583017,23.723964330318765,69.99817873742613,127.17393000879328,22.836475935829526
Country D,2011,21868.002372756164,39.177686102546716,45.32946868951299,173.5656604091111,94.9059603540122,31.68871017800626
Country A,2001,91940.87810758271,14.530393522813187,59.02982464470067,131.063595838595,58.65072484618874,26.14310248231371
Country B,2009,49194.51614655875,31.782422700345656,54.99900600884456,369.99323539990274,65.61755023946114,15.770034601437963
Country C,2003,11002.886531079039,24.340549199786167,68.53843620713735,371.90749567597305,86.14602134432151,21.231131553282925
Country B,2013,61827.812494160215,32.45804978656479,21.24581398429655,290.6291695397806,121.54050813393124,87.78617787063385
Country B,2015,62173.50312013955,29.83339723433179,33.06094783202009,52.366798594028765,149.6928514507621,54.39842201927145
Country C,2014,11127.572075223372,23.17501571662978,47.45782281412127,443.1898948559083,52.291256331482145,20.07227487275559
Country A,2007,97389.63708519789,20.617324740492013,50.974489951037455,480.0142098475303,120.59148269378119,67.04762003580451
Country A,2013,56682.84670298468,32.63077763068377,33.71779929538721,141.04060478903364,104.06634190967453,48.143032938658564
Country A,2022,58180.5936070776,19.694236187794793,61.340083318793205,429.00472726441865,93.74316200998038,27.973695906207332
Country B,2007,54410.964377727476,33.63314440265705,28.217389645800644,487.9789032807296,145.97484631984076,85.48562970529377
Country A,2020,63019.5190662389,30.395291989973558,20.042455481085906,197.1383555142405,68.7304259699902,27.963452658235823
Country E,2015,30108.47651350672,27.330075106995068,67.61956991880649,133.2755728693523,51.23738918203458,17.80718205262619
Country E,2012,32287.928057609875,21.06402654706892,39.577839721504986,489.89302342539037,135.3116589429756,26.461822293212293
Country A,2017,53577.21353063261,16.15244073299125,67.87449004780467,76.88448132145007,38.24267084258281,82.95426654208913
Country A,2014,81635.15620254006,31.312594037219917,33.8965800172612,174.182288870517,128.05436095062055,78.62366446388938
Country C,2020,9737.13476694699,12.740476815117427,23.172431756561295,383.9131700415349,100.70831917278694,81.54596985743547
Country C,2023,62323.40016092337,39.11626768467279,58.625980227651155,327.8090667338667,49.680467007127945,83.29431422087451
Country D,2012,81643.92353809983,39.362437438464625,61.79097659128491,358.0298208906171,57.28345899520849,16.199893796612812
Country B,2008,19907.14084353658,13.90667847874416,44.60434494238179,368.64119321845266,48.700871120058835,66.90656686467992
Country B,2014,6427.1414881537985,13.118059689169067,23.692517008893233,358.7649008166421,116.20062502248385,63.16169805375908
Country C,2012,34707.76303843851,22.381501812490903,52.70670374866689,204.0085566846874,47.67733893534823,89.43267031849592
Country E,2000,60873.652139311824,38.910498167815064,29.107198723757865,190.17510197410522,111.76450498643888,67.17393767510893
Country D,2006,18136.901473451035,22.009326976933387,62.46907740781421,242.8099450521735,45.37803543160886,73.36251293959815
Country C,2008,45481.62524238612,20.914063252970045,33.70115597710956,413.45760919026355,126.27199078463934,67.19891830774714
Country D,2023,57470.542250556406,31.107551769963138,62.38531951569639,472.22196590750747,140.33889349716802,59.64654303077496
Country B,2000,61893.89400194513,15.361937097856812,41.34622709467597,254.86074814781077,97.11744338992688,54.24187361814769
Country B,2011,31069.11349503564,20.899704507212544,49.82439196240753,88.59476174732995,145.94208446605538,87.54083420882387
Country B,2007,43002.81541869768,18.739223388234635,59.47812584104832,472.2343395474242,76.8456363510243,84.90736443507974
Country E,2023,78942.22676141807,28.046038678918784,22.021962149146567,86.19269385386211,59.35229466382488,45.0280131108741
Country C,2010,94415.39594146512,14.882586586424916,61.05830030948924,121.59932292646495,51.27561073334988,32.73230999933459
Country D,2018,86878.63145623443,26.46103766818709,26.93240208827488,440.4551058215014,87.47560169766017,50.72554877548214
Country C,2016,58606.93266467603,35.726397698105345,37.92091776014932,298.1653432311251,45.68962819700495,69.68916711027335
Country B,2007,43977.816279674924,25.425116401228056,43.639051505553155,208.70878903839764,135.0948754169799,42.075817568334855
Country B,2002,36630.878365284734,30.504898512942557,64.77132918343143,468.909358961062,124.17186208968538,52.978476006614166
Country C,2002,16870.873777981717,12.257440530337986,21.122031394779555,482.22787497809384,97.45420852352173,33.896472814834326
Country A,2000,15122.368485530733,23.47016737741129,47.96013041483927,198.8432123604877,116.5755564022966,44.21634947153315
Country A,2004,70393.97436679748,12.84679502307556,52.126125003119725,440.79086480025876,35.99883635917001,86.58363191245341
Country C,2009,29680.469536260236,27.983850273599707,35.82911545495367,355.3379833441935,54.42213461926026,27.188669533872485
Country B,2006,29192.860211082447,18.431631135214555,34.52433856547299,173.52111780450997,104.5454271395841,89.09875456420104
Country D,2008,99828.53017538963,18.61797492975244,44.523457925523374,473.64470648362624,87.29634140553821,27.243190668009454
Country A,2006,22852.965998010564,12.303002114349422,29.35502089323363,78.38110068497129,102.55475759525322,35.538878551821526
Country C,2008,19065.677151438817,19.30713584322203,43.40594648024796,193.07403463863153,40.67628513965509,16.97319858470663
Country E,2007,14375.096637192459,25.20031531321292,58.25126617450737,228.31772482168773,108.29070697256873,70.16763911348578
Country C,2011,60081.50779084564,27.53980309515284,62.26977520802574,360.79394790938005,126.43395084476056,11.410758863929926
Country B,2001,64647.06347019964,11.999966538274698,39.258069244945034,67.29486188878204,95.5530219597186,73.027272252686
Country C,2000,39696.65299440378,29.543775571482104,50.86508565718428,450.39960583174627,72.88884224292832,56.170662416365985
Country A,2015,55864.26687358943,24.66627282260484,20.001025898044748,346.5963245680164,50.95774282968451,69.90137018029046
Country A,2022,79897.9554397667,26.107240237427042,47.517624183572615,173.76027401592927,61.84260550694114,72.64963712645248
Country C,2022,82719.89599056609,34.98390021303384,68.76181526962449,346.2539422509051,92.70394247268783,19.950579796882266
Country D,2023,96001.6471929866,20.266793359145996,35.613251358060566,291.61576396365274,60.662139537839636,11.711308275410248
Country C,2004,83305.45866267307,15.22153334095104,49.7388062104623,201.3240929336823,123.35346448548015,23.50131854890993
Country D,2002,58659.93648815552,26.554305271208623,58.11418288228065,62.86841168216972,45.80892312850683,40.72540371026647
Country A,2011,22067.41175450037,38.35065752605716,50.44665104948213,297.99530438609406,91.97091193172542,15.865315355232052
Country E,2007,14477.537981770029,25.536088575433936,40.92499852334197,86.98168165887725,89.51594175620224,46.53916566243011
Country D,2021,10178.629541531624,34.95736522358519,27.62877866547657,414.57936011648155,46.66707159982689,32.80714985488107
Country C,2002,68319.95401961145,32.71096163383099,43.18506987291154,89.83654350264646,149.39850969179332,39.1067980647007
Country B,2000,81715.94426280935,25.549923610294947,34.73921045892958,242.9326739075795,128.77624649575608,85.22939325990657
Country B,2002,53324.9753149875,29.426643329602676,54.79601443806487,245.5483064806456,76.38389582177055,67.94165777144626
Country C,2004,10197.846609195794,22.200405522899757,42.09563838572383,300.29074795268116,112.18878467530804,62.652798992727774
Country A,2014,55869.704586177126,25.918860672915812,62.49398823036608,67.77855055432664,115.98974393258324,62.28521619505365
Country A,2013,93896.1798448323,25.21857265871904,29.666121844658818,141.7246013921329,108.13782812585283,54.43047929198595
Country A,2002,61773.25313858374,31.27331088873319,40.88600610267868,139.77553280223515,81.89807354072448,51.03843484001661
Country C,2000,81895.61140396741,22.299439580688478,47.875248819740406,319.5367766107394,136.2133597951566,80.57220423451705
Country B,2004,81014.50159721631,12.993013678664202,26.300733801414758,168.63598968592157,122.58616580736877,16.000154209892532
Country E,2022,93552.26447916203,33.66128568440868,49.395503891724445,114.88774139510319,95.04239450638063,33.08160084790005
Country B,2013,78171.73273673796,30.545590099846226,34.546070266378806,58.258882534327014,30.307534260389115,18.330171011345087
Country A,2006,76031.5488312435,38.50370366372096,31.476859007432978,428.24517587570847,56.804908599213285,10.8842282444542
Country C,2008,27239.753172210854,22.861485275435882,27.095536986467238,487.19668870437613,91.05908422074253,11.109365715608979
Country C,2014,10692.889755502738,12.346169707332841,37.49409628167556,366.4678969886802,137.87148681852022,11.920782496171594
Country E,2014,54171.94918011173,13.648569590897289,66.44912075971033,235.72059149687075,105.43451329443037,64.53900206024514
Country B,2009,16821.249754941746,33.199586296092335,21.550292966552924,104.90492386415374,80.14347574116312,18.912395260712405
Country A,2012,96408.60824640917,12.032718483358058,62.607810415396955,263.7971831727419,35.749436946317644,26.192726615939293
Country E,2018,32542.852450137714,37.23478434787856,39.86804488925704,255.79477548953406,101.67362727201055,43.51872534424245
Country A,2006,86029.69932150784,18.44950333885556,48.08008193631923,238.94433902151692,72.09026252578494,31.54002035066256
Country B,2016,41824.33939423363,36.966371217379745,45.640614846268576,220.23661154046854,94.48517368185574,75.3358108472158
Country E,2019,35703.45373645086,33.20520546402838,66.28701308036167,273.53905702316126,121.97300380989924,59.876326943469316
Country A,2003,93840.06437577901,36.1360310887507,58.50646346028568,82.9313205950714,126.44884260609163,36.66468835542865
Country D,2004,39515.64434819128,16.421190753098973,69.24117676639746,67.23256852785167,133.7133887338506,35.42263586132602
Country C,2022,42077.351322997965,27.870804874407046,59.72149758108487,78.78212767423699,106.32559514843564,64.69549776074989
Country B,2006,15078.71906322637,12.807673962172679,34.79442471033437,139.99931605344963,138.67414739177394,23.653597492512837
Country C,2012,68692.43320183837,16.06842302618128,68.1441839679657,175.13161501358812,112.87536117393921,32.44365531609482
Country A,2014,32439.74437536378,19.297066820118054,69.17828954039618,126.25592880469607,124.06969116800154,38.27470038927039
Country E,2010,60632.39594475318,32.22437774530069,26.154685180834974,163.3625210001926,112.25786668947566,46.37165542233822
Country A,2003,61178.4118850549,10.741431381654499,65.05220918914885,133.62682851191636,134.6236576515559,25.242545788208446
Country D,2012,73323.97108159786,37.09351848616409,53.210109144658105,117.83446682247778,56.74678582619535,22.578639982424082
Country D,2006,75797.94118638191,12.124105411387651,66.09968850165569,181.8421977649302,121.1864491634387,89.19680660131266
Country B,2018,53872.98126814624,21.294705860338816,65.78695101094934,228.88068342464484,44.058785164732825,83.05584197537789
Country C,2021,36444.235022323286,12.432688849857524,64.56865155936083,384.92004858638165,41.039283585822496,51.889458127593954
Country A,2001,84557.83500929971,33.06903529310121,64.26377968411894,479.99747427711856,88.99471845451805,71.2440250805806
Country D,2009,34437.236693806044,14.239449202082703,25.88231194966093,463.5343895821952,66.02845870652223,63.920302047056666
Country E,2012,53213.363974586486,36.54270730787373,27.1757854139131,264.17020217431315,97.6029848861798,16.009146145610565
Country A,2020,43118.995404354166,25.906659597745783,25.888970968848334,257.60529003970134,111.32807012633327,51.4317952358735
Country B,2005,86232.44666712037,38.454184583661885,24.55145444001426,106.56405281883087,57.187548073952485,24.713553164147697
Country E,2011,46032.260458853736,18.71082738424586,37.664264253699415,487.2830569713351,113.99112695557409,56.724665158928566
Country C,2011,41679.42293956101,23.62948455635173,54.19792071623211,392.04400871980954,149.4550909957876,14.943318149122042
Country B,2019,70533.25082527555,30.82740886988734,37.734630653629246,431.4057172434901,121.19455443568924,23.032700264522266
Country C,2010,62231.905436837056,34.957399377128816,56.01501666375474,155.37364954313614,50.85438022476956,72.53742803469096
Country C,2022,15188.449182105376,22.640712632368203,61.014156251010135,230.48869283373799,106.043450903434,77.45979177884448
Country D,2006,53276.036602676504,36.77297614981492,53.31073700732085,96.19029665541908,31.138172411288785,82.59684860312478
Country C,2000,74870.44689165853,13.539616249731857,43.25523631414843,473.3658974065649,86.36617923973355,81.73812378074636
Country E,2000,99247.10263617884,31.260541564302862,34.775871979547844,178.62314860718996,93.99676387690093,82.56231585894372
Country E,2019,64768.94922718032,20.445969466409814,26.220168122761542,318.20439305694885,146.68530635892404,17.57671915067192
Country E,2012,40177.841311925185,13.04006452397791,44.68259139556919,118.49901302782318,118.46464565168668,62.759091614476795
Country A,2008,26484.40198120125,21.599936704060113,55.97994766849487,411.25849476724426,114.71523023363108,66.08430020830598
Country D,2002,87918.87224456543,36.406468734567035,47.412160575202414,133.85510026865816,93.88855308290448,31.455602827954323
Country D,2006,82383.69515078276,39.4160161386592,56.07409596452314,414.2229759775563,91.58112170506,89.43446041980538
Country E,2005,27222.667974041564,21.783995713014477,36.760983617175036,230.79314657517315,149.04993374926227,32.866283254135965
Country A,2007,24060.04856392448,36.592491634191255,23.339803152767402,309.9906574566814,32.55215955723472,55.991032695907386
Country C,2008,72937.99379706169,25.28963248725635,58.55489630162883,171.36895134107186,66.38470870325091,79.78843378667091
Country C,2004,34920.44588228215,31.510451129918245,30.9862055914778,447.24940538951483,46.05405880211926,33.13488911815874
Country C,2000,34107.88584438599,11.361142668214695,50.8142530118012,391.940799734723,67.79663188888631,58.52042556524334
Country D,2018,19467.573471427248,26.7193591595207,60.21463722773666,209.42328377940566,85.63436612016336,67.60117391891444
Country C,2009,30077.67437243384,12.104858086329713,26.955500092233834,313.413819389974,71.03188392113258,60.13685022533459
Country A,2011,45613.21797130171,18.058538712813977,49.924735500663786,108.04480656154595,145.52461375306916,42.47719292818425
Country A,2023,74619.64204087948,27.00442977606036,54.46871809200469,122.21253076451245,111.67055723852803,85.58039067148948
Country C,2014,36949.26896930623,34.21491299265041,57.32654334094622,290.15492926423883,117.36539157892211,58.984796773072006
Country D,2021,36217.412250585054,26.82680931411732,27.38333055707438,338.26944502910885,119.07506682989575,27.948819787216763
Country B,2023,32066.758992481402,38.085746233456305,61.25580809896857,300.84427117804665,137.9072390243865,74.49033966874944
Country E,2008,50436.948413549086,34.30997522727506,24.7074283075235,301.73359904261355,122.16225688392599,62.4702694040914
Country C,2019,22160.486304424954,14.687204383153079,45.97917340784036,384.03056340620213,31.944577112125355,18.76121613875209
Country C,2016,51134.919733051924,21.668754568838118,42.170634809894,456.0833663435119,61.36748949390661,32.25136910449763
Country E,2016,71896.67783849554,30.054562819203365,31.088303711777662,224.41889546053463,148.69252627816383,22.65103874644968
Country B,2019,7830.097883099107,38.152180948278705,35.09653707236196,291.6199829574673,108.25493839440702,15.813843090228135
Country C,2011,5929.041129047377,39.63147606234013,28.22178916444509,451.86079297074764,38.17412778901813,28.415980195351285
Country C,2006,12136.676464678378,32.895593138884216,41.28630974106267,258.92539544253793,85.99658434305604,32.25106452414465
Country B,2001,55887.705864170646,27.21307916738092,21.77554637852801,250.31703042526303,147.70013522254362,47.322013285982024
Country E,2002,86173.23290261332,32.69829069213976,64.44576376480777,394.93150571105065,149.14057701714927,87.54104008194906
Country A,2016,5464.024271923935,18.197092583918433,28.174366751829766,444.7855066608456,81.89361837344043,85.46150267841237
Country C,2004,93982.8239355447,18.508090817788982,64.30088782279742,381.9525132829438,137.16636108153233,70.29465511825958
Country C,2016,15096.458599200902,29.630480384869696,63.178870006700166,95.05597588289234,101.03907736756847,61.72091494847378
Country D,2023,84988.4351655315,36.15506729199731,42.58386035788434,259.14694705962773,91.1315218548456,85.78181353909412
Country B,2016,50871.20267337994,39.09428467529061,44.88628561075461,145.3863303452231,79.43309862841579,21.395776215366993
Country C,2016,67638.95179149017,20.240038024936545,35.09567702672407,192.80655446892638,137.05560477033953,36.4264422684944
Country D,2001,53514.88352248233,33.89660869303961,69.84372999877651,260.9394815014896,104.53520049956109,54.26617591869352
Country A,2001,50319.58139203869,35.545924158624814,53.53860952951117,149.68790081438962,70.0557172434823,75.11473350810613
Country B,2021,84315.44569461718,28.695197290941785,67.59041429677761,282.1701518429723,89.03189246424678,59.90293081177022
Country A,2022,76809.20605894255,20.427756466892887,40.73984221940891,339.474147062151,83.28951485551724,74.70953503686106
Country D,2004,50923.2124696854,28.572656958214033,64.15082897163931,443.70425034850905,84.13849411371065,22.246004241557298
Country E,2000,15605.413292625852,27.533467129345382,42.41173166085335,145.1572780334899,67.39317648322609,25.418787791769617
Country B,2000,15963.281134868774,28.195765173894728,63.34144360506563,189.7542637102772,105.95487411665661,69.2452182090041
Country E,2018,81146.24876831217,28.57780641363164,26.546327974742983,232.6102164909055,36.268486848541855,37.86524417943933
Country D,2001,55292.10902801568,35.41174572615085,51.842721338425456,151.04604633967358,136.33959632060362,44.887551369191776
Country B,2020,50750.96832083945,15.10244539801991,53.93517574195734,199.41803179803455,79.84763611303671,73.33316293706417
Country C,2011,69653.84992926793,21.01881842845504,52.80853486432137,447.50773396341754,126.10349622693019,15.602897627303296
Country D,2005,86589.95042435473,27.580051820521344,42.35138090196718,112.39465640502826,117.53901769584479,23.438359566530043
Country D,2022,64742.94871926399,18.49983215834879,54.195805501539795,249.68641714699586,86.62219605019118,33.66486503527352
Country A,2003,77470.5507229155,39.34459366252118,31.973155040829653,189.93513910241447,53.84526785103131,80.67947757463193
Country E,2022,77700.6997911109,17.894507788069873,49.79242972485431,84.7241247948155,97.46540251013585,42.39046987531686
Country B,2010,38844.83763533111,24.088866419270957,47.71174622246646,93.25639811763426,143.76867187195882,30.168707946813306
Country B,2023,31037.903585894594,36.32095137139205,35.916976106521346,403.1959606183113,52.292695517133005,64.27418947423791
Country C,2016,81110.58638164007,12.401909879806787,58.94319044906147,433.5498586605547,60.721493425112314,12.42321084174388
Country B,2005,40831.985219503134,34.620640062827555,24.04360327293405,383.6334202749722,149.16065475801457,72.0085411600952
Country C,2023,90816.92061965699,27.1302510692401,28.5719830646035,292.65307445198283,137.10851697563504,65.83141686817413
Country B,2004,11620.616189361364,10.954061224590113,43.55750198097189,397.6967593153624,95.94598199997286,14.406662549645608
Country A,2019,10530.663647157267,37.087386759003074,64.58683489625479,118.40709096237154,113.36894254147659,49.84230779413262
Country D,2001,93065.39520963379,11.17590506367229,48.757977726397364,401.0907202682775,83.16747977443494,42.33203324001178
Country B,2005,66603.21684723631,25.456533888138786,62.10334254695965,240.56384843810974,78.4911211884537,22.651136972796692
Country D,2021,41061.93886259157,11.470937390970434,45.87848595737967,387.64199044849903,83.18250490726874,22.32358112567966
Country E,2010,76730.73940753736,12.136002954234945,59.2727984305473,152.48722748887485,79.72998637961842,22.815856993600132
Country D,2015,68871.04694939591,36.61612942773676,36.28986973728126,424.64453932866064,111.06660138303887,57.972990757196065
Country E,2015,55464.09944786164,32.97476640887331,60.7571158593819,305.6524455949552,69.65479508585872,23.68853210486556
Country B,2000,14392.967552951879,15.908235197346745,40.08430352828844,53.30187966013917,50.49316875968288,14.76767519639612
Country A,2008,82157.06079281139,28.614039196427616,47.941558070592805,283.670225661613,114.78810521662092,86.60615910603065
Country A,2005,87272.20311465935,33.840387052936464,28.79407457650805,189.62576574140974,33.755703245514134,13.13374039012932
Country D,2015,21356.025412501665,36.68771924100594,66.02165120527783,75.87583784784,116.25040186997781,63.11168386255489
Country A,2002,85798.60693782133,24.04920780517439,55.07295597186375,251.28931504471714,61.589243459349134,84.8826338949239
Country E,2019,88395.4945465736,36.92499632203612,62.94274095746894,190.16156982799416,52.830345759170015,13.034826647654807
Country A,2003,57195.718167409024,25.235502181526847,30.393145357771623,141.97557375479397,75.47480050166601,87.2585505615376
Country A,2018,67337.00844115527,30.646841265330732,23.384217763461823,207.10490112603568,44.09999531187416,50.18712862269627
Country A,2002,41312.54540137668,39.37088078275417,36.86046316555074,130.82324730030945,76.1387549474755,72.8068173799858
Country C,2018,31770.206513380268,17.078553675835803,45.83426954774659,184.9154274601963,42.278606657882776,60.00975375933015
Country C,2019,73588.39896040625,15.055638282474344,60.11849414795176,101.90046956318606,88.01864797977589,59.34775850631884
Country D,2006,86878.13915650178,20.260564749336105,39.88632077530441,87.94066560011237,51.14036992895995,73.10068193707235
Country B,2019,67137.36753079601,14.93197068160928,33.497916245052906,459.5087420188725,45.59959022685683,15.235201823448126
Country B,2008,53601.10801142218,18.524884171146226,38.62725562076902,456.24461055943055,99.4931555839625,41.391190332139246
Country E,2000,20097.8528501963,32.28955970111812,55.18037052305779,422.6023393984088,105.02940605407954,87.56544761495459
Country E,2007,10078.577697457724,24.32572107763862,36.81090484755085,153.64649038815398,30.662104902683147,14.366982447942727
Country D,2006,47340.72007344091,21.251238834847058,68.95828131775707,376.65077461897755,76.52129049708225,31.023664390751602
