Country,Year,R&D Expenditure (% of GDP),Internet Penetration (%),Patent Filings,STEM Graduates (per 100k),High-Tech Exports (% GDP),Innovation Index Score
Country B,2016,3.171581842219685,87.00825060434359,6621,292,26.886555948405885,81.87362598093873
Country E,2021,2.280777360662146,56.25796069812651,6423,1061,31.147739349516012,51.990997610329515
Country C,2022,2.5373069574334686,90.47731388237389,3587,767,12.654986111728872,49.74791357493153
Country C,2017,2.8675137158220148,88.31937629584891,6672,259,7.09801553014579,65.24557256250696
Country B,2012,1.9953265967871718,84.72849018940585,2378,849,9.584081004796094,78.43735656812564
Country E,2023,0.7607608642622711,51.771858645713344,4374,238,26.20989385448589,43.097325928949395
Country E,2010,2.1113196254556432,64.8532894413211,2519,739,34.73062421790074,68.84039598191279
Country A,2013,2.2605233540626375,62.8925159256313,6777,248,6.574888743239853,45.960522142028665
Country C,2011,2.7363184225529897,67.64668396610443,8935,619,30.695294066457617,41.82305254128092
Country B,2017,1.794978638689038,54.29449459142809,7093,836,16.946152608251822,42.63719760811087
Country D,2013,0.8827409083866913,95.91093332852208,9418,212,21.748492947183287,81.70820541042207
Country C,2011,1.3513277173961735,77.13630979490644,6355,1191,37.51008424459479,45.89862418140308
Country A,2023,1.5892468891959053,64.97069122224315,5968,235,16.619002665754593,42.2575682206146
Country E,2015,2.4377517239948037,69.45209433663989,6574,300,21.286792687882013,61.89499435714561
Country B,2015,2.2123349140067354,71.91292448473695,5072,993,5.478884516623839,82.19967359710124
Country C,2019,1.5682901776935387,79.42912233467024,3257,285,7.855955200169342,53.1204188244651
Country D,2013,3.459545746378939,75.26829195712838,9588,715,14.050705689717441,61.085630876295824
Country A,2015,2.3173244580706616,95.05020668750646,5424,422,5.974828428737604,41.99612662818756
Country A,2022,1.2116803752079834,74.35121066238568,4237,537,27.098136411688785,62.45392570674379
Country C,2011,0.8053474178612112,98.61574272634232,4893,1159,19.923942488056788,68.88065403185668
Country D,2019,0.9585774175529961,91.71982292950969,3005,365,24.18508209548077,68.54535268760723
Country A,2021,1.2378731851535245,60.217015203509455,3016,582,11.112651506371535,56.62133460871826
Country B,2011,0.982044119778667,95.5991655175519,2772,1055,15.357621030281564,55.776659033156776
Country A,2019,1.0597010721539173,55.70195349638833,9353,1094,28.23385661984538,45.331180946829896
Country D,2023,1.3552855060815414,90.05503571606839,4976,575,38.785595327063994,58.33991603231342
Country E,2013,1.0201207858842645,68.65054138035242,2751,670,6.764587076077322,44.97473344364823
Country E,2023,3.1902962738792757,93.0207417018084,9967,989,36.16345122993431,78.32979723560258
Country C,2017,0.7407012369849266,92.53477781526507,8430,841,25.190842045892296,88.31371488740929
Country D,2023,2.073534168710764,89.49034460576344,8170,230,24.73718483644683,88.50372283333535
Country A,2016,1.7311904809689844,88.71149137904601,7469,574,22.50974873227161,83.25355496876969
Country A,2021,3.447135850725819,64.929277815804,4220,210,7.428793006646419,70.03960746698095
Country E,2018,0.836116706504157,53.96504486951136,1539,1187,8.145689810765624,75.043284862194
Country E,2023,1.6935667971372248,69.74602875949292,2461,501,26.031920198068015,54.26029013402071
Country B,2017,3.4084112998261067,58.50270123433893,6184,295,16.93355000024454,71.53852100863104
Country E,2014,3.096521377681941,84.05260335622063,9547,389,37.104382330218826,62.78247747199387
Country B,2022,2.95121621284784,66.95888660035149,1234,652,19.23066880758153,64.10086698884663
Country A,2011,1.2737084811348196,97.80489984213582,2548,391,10.014851054592437,77.88882801875789
Country B,2014,1.0126627621701974,81.40763178992127,8480,685,30.01515917257126,54.09591777986258
Country B,2017,2.505929659773293,90.30154761808369,5213,465,15.267369750435344,55.90198058472599
Country C,2019,3.2881279673827573,56.493708964350574,2673,623,23.39146075745626,86.23208955643183
Country E,2018,2.1702886790417892,92.2387096313585,7708,327,29.42414749268095,42.811214742548614
Country B,2021,2.2148380684096995,95.21510233515633,8982,437,36.50924389207246,64.28171492066701
Country A,2021,1.3399372809808525,73.86603402212786,3100,1119,32.72669181805867,85.64004002039309
Country D,2021,2.808478799575811,79.7063939497979,4748,554,28.672637375545342,70.51815039090785
Country B,2022,1.0611312456725701,87.47568024424677,4173,1139,28.787161383830025,67.32035371060661
Country E,2018,1.4710377092127311,58.56709273576021,2815,311,38.10736254112303,52.48720896146776
Country C,2022,1.7763093158492502,74.62573774670868,4841,1027,15.353843412378762,57.163774453222416
Country A,2022,2.022831136053365,69.53448836084334,9016,645,5.038923296866559,82.60242079023465
Country C,2010,1.2272291972452407,57.17232561595021,8011,542,14.518409578936954,67.96090658842292
Country D,2018,0.8445104742176106,68.00918669228504,5493,344,12.62619828693604,65.737109687839
Country B,2016,2.331860127324898,53.34044315988918,1674,264,28.164210478989936,44.97898567700145
Country B,2018,1.3658916597207673,51.264783440524866,9088,446,27.179905991793518,40.801407822756154
Country E,2017,2.243714664267837,56.62314816858631,9578,934,25.771148394665335,88.18425943435246
Country B,2010,0.9630881458226069,97.19264046786952,3158,1190,5.568520512330879,58.84930836434208
Country A,2021,1.9434203055644526,76.92694725885583,3661,689,30.507231905772663,70.16065310497521
Country D,2017,2.0977682976547576,97.32528589650778,3064,1024,16.323564436992203,43.98575365936425
Country C,2017,0.6554706104672807,71.19239603817647,4253,638,28.276959615232087,74.15571428615232
Country D,2020,1.5098128345817616,65.27899052117772,5979,305,24.480244997575365,86.62833543529806
Country B,2012,0.9032440308169227,74.80095127917195,8703,380,16.99558238997675,68.78326264987098
Country C,2010,0.6901249114183032,71.5360727430126,9931,383,9.71016934864377,46.30576611877053
Country E,2017,3.4698806971698355,55.17756952882545,2401,425,8.304661418116833,69.08607637367383
Country D,2012,1.467061534924169,81.4004894198201,4259,976,34.103141658927825,78.31736065523262
Country C,2012,2.9296233375639047,60.58587094297038,4923,989,37.14391397285453,60.32082682870093
Country C,2010,1.2639219642912916,80.35980978999365,5214,1108,27.742581636750486,83.99188739707338
Country C,2020,2.544508166671788,81.85985352750951,4227,288,8.620194020116918,72.43414766786822
Country A,2014,2.7806835796690597,57.44921780330375,3745,887,19.070952591088425,84.96244591446012
Country D,2019,2.2869162218235326,53.00613172842274,7091,729,30.512872003680503,71.17526556236686
Country C,2016,1.9147285656504751,88.25731771735354,4866,570,32.29373094035238,46.56439860024121
Country D,2019,1.7355227424418056,72.5302207646967,6818,1171,9.1376517801881,55.48458555525946
Country C,2018,1.546604799628986,52.85002597976831,3222,1135,5.0010751595883844,50.08974741262284
Country E,2021,3.2885874327434776,98.74844954131859,3792,1112,29.924796605821175,85.44132488584312
Country E,2016,2.991858223363187,52.831247488821965,5063,598,17.4808661595172,78.02000336437413
Country E,2018,3.3950807319995375,84.0567262140691,2524,305,13.906846606639109,73.81991844550029
Country B,2017,0.8728916704566342,98.20026733790726,9224,470,5.451411442633391,55.048315981581084
Country C,2021,2.6926024256109327,61.71982510658036,7198,1174,23.91047923665249,49.202238602510675
Country B,2011,3.3150213704631133,56.97021906567261,5025,1030,34.79027573990936,77.8225543994456
Country D,2010,1.0436991984969803,55.94786203169902,3566,702,38.517107619540575,63.707897293953984
Country B,2016,0.6994888021003325,64.86048223081218,3803,878,24.80107327146512,51.28947760753145
Country D,2016,2.723361947870177,54.951244739521684,4709,724,23.006146470896297,70.83109890826375
Country D,2023,2.2234193395397357,83.91590574301247,7155,1048,7.976973492123438,42.0166926069226
Country D,2017,3.0254863302748163,53.05229810837307,1719,231,24.21054805399099,56.30851270641267
Country B,2014,0.9193171298788685,74.96168427933969,7516,592,18.299267763788812,63.42784972955673
Country C,2012,2.8858019355796705,98.83814583879587,5579,239,26.249734830925192,47.397916705470294
Country B,2021,1.1048819601432336,89.88454320579493,1972,859,18.605422175679134,89.23272387954198
Country C,2017,0.9909678285971135,80.14575247331953,4718,417,13.410469320762836,50.45486822948071
Country C,2015,0.9927973937929788,65.00642741854398,8395,930,8.323784632993178,46.51765650216328
Country D,2020,2.9437241606941464,80.57089597829028,5402,1180,16.02214556061135,50.17674369434482
Country B,2012,2.4955916620886005,75.82503173167093,5552,281,8.38256920007133,78.45305665798621
Country C,2010,2.069196274307358,70.8780858106282,3207,1044,11.191393278839438,61.27528296359214
Country E,2012,1.5764914523705076,56.40480846026978,5426,919,39.556765550284105,68.27079698762691
Country C,2014,3.131601622439325,93.44360654678286,7919,400,20.543624491731652,41.050457849318036
Country E,2023,1.6773353222679062,72.0394477922448,9835,646,23.61551182767558,41.72156542866573
Country B,2012,2.9497983184147314,59.53650307921749,9386,1043,35.57664850580254,62.29127749135081
Country B,2010,1.8174047257106554,68.02020819298718,9680,627,39.844911517174076,80.83276216008117
Country B,2014,1.6308332882747227,70.29235787391742,3204,237,25.395005727063854,84.26194393537827
Country C,2019,1.8880393570088194,90.54935688277683,6345,410,33.43658373654601,44.33532837978201
Country A,2016,1.4041336224924263,85.9471046475087,4276,643,16.442935851783634,66.91815510505114
Country C,2023,2.7428281405287533,87.69593978842565,2102,526,15.701038510655188,85.66148431396353
Country C,2016,2.0081611702774373,50.540531957003715,6243,960,19.094630234809607,59.39863771989432
Country D,2020,1.196638085440452,70.39154591080832,7614,426,28.53775419357772,81.47829157141842
Country D,2018,3.1987237198237053,73.58586343013086,9707,247,28.876709123928457,46.68478271997181
Country C,2019,1.6516736641196341,50.940421564329775,6223,217,16.033380212730776,86.76972448338994
Country E,2019,2.130658583341966,62.730847228506676,9584,1111,9.662347344782004,77.57116587656513
Country D,2021,3.219416332893641,87.25420133298462,1630,638,27.1338689762928,87.06671963934508
Country C,2022,2.3727139877419763,56.71837558072095,7683,1006,9.491405176606758,73.83086167762532
Country A,2012,0.8506941221250922,76.23019644117699,1277,907,25.247237788026553,58.17019659997135
Country E,2016,3.3194963708404255,60.54489172884464,1232,386,29.269774481970813,86.90905862623612
Country B,2010,2.383124159214254,50.59391795755077,6690,544,29.521402373805806,53.77833881545892
Country C,2013,1.5047168439712584,61.81887142237753,8659,423,31.371523873085884,56.60862610308663
Country C,2022,0.9178162179901618,97.81781399059264,1025,1029,35.55007975479826,75.04042090008701
Country E,2013,2.882075567810888,89.2753184822665,8468,687,22.498564718767597,78.26581497626931
Country D,2023,2.3602182677855406,97.01925557173064,7410,1108,30.55872163353499,86.47017419245769
Country D,2014,2.1003832759289645,73.90484815239176,9652,1076,26.671045737804285,50.24012045281047
Country D,2016,3.1816777491528727,55.37707373519767,4764,1048,11.53239789291889,79.8999017609612
Country B,2016,2.8657916336735925,76.85001495971096,7599,428,5.899137570429286,76.92730266984817
Country E,2022,0.9550246391982535,72.26448939343808,6102,589,14.958948498692681,43.18972781267989
Country E,2020,1.4351662033866446,91.37349705424118,8006,1178,20.50617972181668,59.36115706051035
Country D,2022,1.2454674194433972,54.806046458427986,4483,788,26.59870805500297,54.13827285300493
Country D,2013,2.731838877718031,73.92381571406713,2994,387,34.74857656761219,55.22452121770152
Country A,2022,0.6005973042073381,57.35238457000523,9682,1057,11.868600084715798,89.14734397773503
Country A,2016,2.2096690546139497,65.90912041761294,2072,469,9.394242646446699,72.1388706739964
Country C,2020,2.7873760572220716,86.13049679200219,7707,806,38.72179816160146,75.88380788967498
Country C,2012,3.1302969102852485,73.32488833906956,1215,509,8.78155957817425,88.83088186575046
Country E,2015,1.5262452461477225,68.4185259721427,8605,331,21.74718745375162,58.86008912288193
Country E,2021,2.9637719140160383,69.32933764993173,3606,750,25.494730507765567,80.0920084226403
Country B,2011,0.8318952108656217,72.51289165189334,9350,271,23.94810473176034,61.72654816522477
Country B,2019,3.0393568752035547,88.46581064801579,5781,992,8.011125496153012,83.47668359074899
Country A,2022,0.8824659869959472,93.71214975807149,4313,1044,6.995941990126678,49.03287706556516
Country C,2023,1.6918618716811018,96.81139963869248,8763,871,8.691919961136248,87.38430885321398
Country A,2018,2.891886097338661,88.55826592650946,6939,386,25.49556893554144,50.93858542054399
Country A,2014,0.9497522820463213,65.45493789165262,3295,685,24.05207106720124,56.311025349046574
Country C,2015,1.1877541856979246,83.71860059824056,6685,390,13.180927721286048,77.80961170533902
Country B,2021,2.666757705179199,71.44255307871421,2696,621,27.322094964595706,59.68775707827034
Country C,2021,2.660109609638223,62.47886048025651,2946,319,33.70236257194773,70.41056883832233
Country D,2021,2.423442898655892,91.2027073918702,3783,419,6.455263594630782,62.22867505347142
Country D,2021,2.5818453334013,51.88289109915392,4644,252,22.434548024181485,77.1184968544891
Country D,2013,2.1281733300427885,94.18633761463576,6241,933,29.12586442359416,51.41656261843055
Country E,2023,1.2553971767208583,72.61239576661197,7420,650,13.830917447439047,42.92289936184385
Country B,2023,1.5370879805117583,81.22287236360575,8557,611,15.771981685260219,54.99646987365331
Country B,2020,1.044793150404277,82.30834218808334,3645,842,26.477326604628434,63.715433243421515
Country E,2019,3.225351684000885,93.86076929462028,7589,436,36.42773527053079,48.40100260963393
Country A,2016,2.2501753842983616,81.19681442619316,7353,957,33.34735471060148,57.739864482819435
Country D,2021,1.7025542502909197,80.08274565324302,2932,937,25.409557668485423,59.999150914678424
Country D,2018,1.8860174109323982,53.26594998747381,2757,919,30.557760121503723,42.869592184413676
Country A,2016,3.341850018835446,75.401993075315,6085,605,17.768786457272952,69.16536240921023
Country C,2023,0.9600542093482406,57.35828104003504,6637,807,27.43379348345652,84.21717139856437
Country C,2010,2.258689496050392,86.13425466735279,2116,621,21.316355689464494,47.58714564765262
Country B,2010,2.017666036653398,75.09887411982105,1492,911,11.647764776014633,69.8904006700757
Country E,2018,2.3343627063039434,83.33116118120931,9811,446,29.560839585704002,73.23696024554232
Country B,2020,0.5543305514625215,52.04197212951683,8888,271,24.47626230720877,60.96673402096442
Country C,2023,3.1163717268324547,54.15480878624436,7474,1029,17.551755368375698,75.0548793682135
Country A,2018,3.296354847450837,85.09984601507142,5958,384,36.896871652752075,60.5365771745506
Country B,2013,2.1953995507676267,53.53213246393499,3743,205,5.732694123935664,65.23186439887175
Country D,2022,2.589952471630677,53.49157966049767,8866,405,16.05206029373236,40.36765222772135
Country D,2018,3.267498143531887,50.59331528650949,8160,743,6.99084892221763,74.58600570673444
Country A,2012,2.621715902940196,96.86856851667453,6451,810,31.82845606775695,73.06713394723621
Country C,2016,0.957617128742784,86.13790961349133,6258,1105,29.57376089398274,41.92004386631723
Country D,2015,2.2288650805004395,67.30931901660114,9548,586,16.597327655771096,58.41250536975666
Country D,2017,2.3201451391485675,64.5302434830951,8186,967,28.648201577247555,88.95159203958337
Country E,2020,1.772392013907158,67.13545825754663,7102,898,18.857802916858244,61.03682812843084
Country B,2018,2.7093327068741684,87.95802302787791,1619,275,31.4688826997852,65.09727025659208
Country C,2023,3.3031010443070445,82.4071599424503,1882,376,20.896428195784715,85.49650790798593
Country B,2014,3.276705538720329,59.07458282550593,9988,1026,19.429790474108295,75.86309379328782
Country C,2010,1.8525181142123963,58.53135743137013,4642,998,37.715547042090535,69.10350655621119
Country D,2012,0.8397141375222658,54.82138683595647,2296,548,13.780768496174508,79.89023406705363
Country E,2019,3.454523596887004,82.35483326536557,9436,454,9.21565689987979,83.21831332279866
Country B,2021,3.016694259337802,87.45426044886506,3895,1036,25.459008964081036,62.84440358686334
Country D,2017,0.8739880436098005,62.9872749879252,7593,901,38.92626342994626,63.75541824659177
Country C,2020,3.262525647852117,51.02630309051473,1929,507,18.224372480451535,59.30254678259179
Country B,2015,3.1096890861863846,54.02641170634494,6366,544,7.171286727007353,88.33530700092302
Country B,2017,2.0565141713782165,97.4251417074065,9711,326,16.87568435583486,74.85831271451752
Country D,2018,2.2738263072347875,64.47679409639359,4212,1136,22.707607901184545,44.16115331040361
Country B,2013,1.6970081116103908,87.69193424406855,3409,486,10.667305232127479,83.14798116565092
Country E,2010,0.664284916466094,80.60851487385892,9199,965,28.03357763197722,64.0279970418134
Country E,2023,1.5055917249377027,68.7150423429919,4423,924,39.92122861535702,43.43769532112437
Country D,2010,2.9085603457940343,60.078675847582204,7976,961,20.810881659350535,67.48586275816555
Country C,2019,0.5138960690138086,55.94793448981092,8594,795,17.41549948555744,60.85821394878511
Country D,2013,1.5004975150734325,80.13563543390447,6158,686,19.024645839206332,83.88747024313125
Country E,2021,1.6945060807728298,87.9570552512516,4667,582,9.03011624383204,50.199730180469366
Country A,2023,2.1121868088137687,81.55130842351541,6973,605,35.914576049917834,81.32323047460915
Country A,2016,3.2595668492382814,75.98480452920876,7236,587,19.518897943247318,67.88443455927263
Country B,2011,1.5390379830978838,52.05560994815018,9277,724,18.554604399869447,42.730515160673455
Country B,2012,1.540859605688683,97.4559501021248,3468,756,28.089159552566603,88.59226506627422
Country A,2010,2.7125037443292452,89.13699539107415,7217,838,20.471169732589324,65.63076220516
Country E,2014,1.8566538226694216,64.34827979834728,4619,1137,27.688171408274613,54.543842711579124
Country B,2010,1.1738144688199459,98.01854613858367,2636,825,7.150620154577563,63.470342099462904
Country D,2017,1.85731854839808,79.49219789217977,9155,1144,33.48031703027796,82.89288917587444
Country D,2010,0.9225710611393996,78.53871025215508,4583,475,37.91763835077909,55.245156219253175
Country E,2020,1.02916095951867,86.65558579204708,5009,699,27.70678851557851,49.63381982433501
Country B,2010,1.9951033182184392,89.77671961641674,4326,916,38.40980751005838,46.453562346544075
Country D,2011,1.7567763485136436,82.16745175924363,9148,536,10.300131002948715,54.89296991951056
Country B,2011,3.2445377032043003,56.2766915719438,3217,1149,21.70956663181238,79.00240435200217
Country B,2021,1.5871816973498993,66.57510779373042,5967,1131,26.063235688090653,63.58131825976308
Country D,2015,2.2417650508341302,95.47609837597643,3369,680,25.360782659741535,51.374080184677
Country A,2016,2.3967928637585914,61.00616498034874,4638,1096,19.051162268116514,48.30924998048746
Country D,2014,0.5392833697650009,68.23618416803815,6722,1110,16.83295432781915,56.636473825518955
Country E,2010,2.4906121160501318,71.17176726426561,5444,1172,9.438840789264658,86.99621864428545
Country C,2010,1.0341079006092544,71.53084449502816,8618,472,18.710985769679738,57.15133562950122
Country D,2012,3.3832109524083656,80.03403954223175,4947,1119,10.693128528691979,89.40620379773176
Country B,2023,0.9459881832593389,96.21071604949067,2676,257,30.702798677227644,64.26152278826781
Country B,2011,1.7438723711810713,61.793942879792745,2196,527,12.30908274231065,48.95819591450754
Country D,2014,0.7560490042359316,55.95356743874498,3787,930,7.049785684958685,84.55700458967547
Country C,2021,3.490622755537842,59.676054003136926,8432,308,24.3328148236032,63.017768656741346
Country D,2019,2.006585030993728,93.4593201102542,8927,478,25.833040645179057,75.48356717522623
Country C,2015,2.2861550519601312,81.6447298201051,4318,885,35.516957144817695,89.18557916045759
Country C,2016,0.7012294321652824,64.00943267271884,9858,527,25.194356434618864,42.5087675159987
Country E,2013,2.749881411197533,89.98140000946225,7689,975,17.091829880320603,44.83472798937836
Country B,2016,1.1297167792867573,92.20712982180837,3176,514,33.10541585342122,76.02283707313781
Country B,2020,3.1941628683221412,91.47920259582362,4743,673,23.909761261559737,54.0912501647736
Country C,2017,1.1154189214460215,95.02740014833816,9792,310,7.774809962091711,49.21506984750495
Country B,2020,1.0720631619909997,62.35980998849472,5422,898,24.804769610963632,41.968093990986475
Country A,2010,0.6096490035442846,86.99705450856763,4824,980,36.780649089758185,41.09233559931009
Country C,2015,1.9162008353299977,72.56643536643286,3451,1134,18.87094189243772,78.72428015598955
Country B,2017,2.1945233997878493,91.25792909161302,1628,428,15.371403066493002,46.7216713684775
Country A,2014,0.6971259182850571,85.69604318091905,8778,696,10.021430995630702,63.38603079855754
Country E,2013,2.826582850085032,88.04592487848652,4696,355,10.300593267737506,70.29484075897415
Country B,2011,1.8598665042440827,82.15193004637251,4674,672,20.14700195196366,61.41759002844231
Country A,2015,2.07317080798274,58.694009704015635,4929,900,25.848793845653535,41.35533261681166
Country D,2015,1.8222882408146845,76.70631902594998,3765,471,7.821539180936061,79.17507512939545
Country D,2020,1.7022891826259778,98.2488172367009,5369,1086,37.8849006158808,40.52566122708267
Country A,2010,2.1789209939246534,95.93201525835883,9307,201,31.429676610581858,78.0944947188742
Country C,2018,0.9657207377921375,52.11551305405357,5956,957,25.531837139928193,84.66522468940613
Country C,2021,1.0457843914858134,58.07592597074242,1692,921,33.99535348286468,61.641996052858616
Country B,2020,3.085356863040552,56.45470989927353,4162,710,7.806536488423966,66.77712365488992
Country D,2015,3.3383463864008984,85.57301558927948,2105,1112,21.689360720659355,63.849169630882685
Country C,2022,1.6199279488392588,90.07148116299031,4008,485,27.053259440158218,59.46043093117194
Country C,2012,1.3122340194306612,60.46205694922293,3161,1070,34.00285171414012,84.37122676851801
Country D,2013,2.4319986297170475,74.78678195463962,9345,212,32.42143460172437,84.69667553349953
Country E,2021,1.726202513294289,91.1944483725488,4699,807,14.697423739968988,56.79081823207673
Country C,2020,0.5761590669810346,85.90727569354628,4786,697,37.93080593457215,70.7534877007349
Country A,2013,0.9684577920985711,76.56962306910057,5200,932,9.352104450080462,86.34537810729321
Country B,2012,2.6479166865421924,78.92703683247987,2913,437,35.629676651740326,88.10292494706758
Country C,2019,2.476771825730454,74.90966679889772,6520,293,38.98290873616165,65.44795202110238
Country C,2012,0.5812879775104505,64.57987411462221,2772,537,11.200373312791895,62.641240264216336
Country E,2012,1.1659164857988484,77.68607765009179,3780,980,30.272312247132483,53.93471579642629
Country A,2013,1.193224389764214,83.75537980045445,8423,370,6.4099931572299464,87.9435936595205
Country B,2016,2.515678230796185,92.79282287717957,3871,1180,19.189798879870423,47.14071522364337
